pair,direction,entry_price,exit_price,position_size,entry_time,exit_time,exit_reason,pnl,pnl_pct,confidence,entry_balance,exit_balance,duration_hours
GBPUSD=X,buy,1.2905889749526978,1.2884937524795532,1164.4692875501603,2024-11-08 18:00:00+00:00,2024-11-11 10:00:00+00:00,Stop Loss,-2.4398222205616973,-0.16234622438343121,0.72,1502.8512241832595,1500.411401962698,64.0
EURUSD=X,buy,1.067463755607605,1.0655300617218018,1405.5853363458295,2024-11-11 10:00:00+00:00,2024-11-11 12:00:00+00:00,Stop Loss,-2.7179717708665967,-0.1811484348433503,0.8,1500.411401962698,1497.6934301918313,2.0
GBPUSD=X,buy,1.286852240562439,1.284224510192871,1163.8425788008426,2024-11-11 14:00:00+00:00,2024-11-12 03:00:00+00:00,Stop Loss,-3.058264489711162,-0.2041982977330311,0.72,1497.6934301918313,1494.6351657021203,13.0
GBPUSD=X,sell,1.284224510192871,1.2791157960891724,1163.8425788008428,2024-11-12 03:00:00+00:00,2024-11-12 14:00:00+00:00,Take Profit,5.945738996804967,0.397805373059846,0.75,1494.6351657021203,1500.5809046989252,11.0
USDJPY=X,buy,154.4149932861328,154.93099975585938,9.71784457431754,2024-11-12 14:00:00+00:00,2024-11-13 00:00:00+00:00,Take Profit,5.014470672145023,0.33416863139086267,0.73,1500.5809046989252,1505.5953753710703,10.0
EURUSD=X,buy,1.062925100326538,1.0605578422546387,1416.4642220872768,2024-11-13 01:00:00+00:00,2024-11-13 07:00:00+00:00,Stop Loss,-3.35313636329283,-0.2227116540170305,0.73,1505.5953753710703,1502.2422390077775,6.0
EURUSD=X,sell,1.0605578422546387,1.0630381107330322,1416.4642220872768,2024-11-13 07:00:00+00:00,2024-11-13 09:00:00+00:00,Stop Loss,-3.51321156081532,-0.23386451729221622,0.71,1502.2422390077775,1498.7290274469622,2.0
EURUSD=X,buy,1.0630381107330322,1.0587612390518188,1409.8544655313378,2024-11-13 09:00:00+00:00,2024-11-13 14:00:00+00:00,Stop Loss,-6.029766638263203,-0.4023253388596016,0.73,1498.7290274469622,1492.699260808699,5.0
GBPUSD=X,sell,1.2708903551101685,1.2668811082839966,1174.5303241988195,2024-11-13 14:00:00+00:00,2024-11-14 08:00:00+00:00,Take Profit,4.708981974536741,0.31546756256753006,0.71,1492.699260808699,1497.4082427832357,18.0
EURUSD=X,sell,1.053851842880249,1.0578652620315552,1420.890662097925,2024-11-14 08:00:00+00:00,2024-11-14 15:00:00+00:00,Stop Loss,-5.702629795175891,-0.3808333380465705,0.73,1497.4082427832357,1491.7056129880598,7.0
EURUSD=X,buy,1.0578652620315552,1.05507493019104,1410.1092705543094,2024-11-14 15:00:00+00:00,2024-11-14 18:00:00+00:00,Stop Loss,-3.9346727962332633,-0.2637700603909143,0.73,1491.7056129880598,1487.7709401918264,3.0
GBPUSD=X,buy,1.2686975002288818,1.2656145095825195,1172.6758663301712,2024-11-14 18:00:00+00:00,2024-11-14 20:00:00+00:00,Stop Loss,-3.61534872711073,-0.24300439196941045,0.73,1487.7709401918264,1484.1555914647156,2.0
EURUSD=X,sell,1.0531858205795288,1.0556317567825317,1409.2058233826583,2024-11-14 21:00:00+00:00,2024-11-15 06:00:00+00:00,Stop Loss,-3.4468275408941964,-0.2322416571898986,0.71,1484.1555914647156,1480.7087639238214,9.0
EURUSD=X,buy,1.0556317567825317,1.053629755973816,1402.6754636833637,2024-11-15 06:00:00+00:00,2024-11-15 14:00:00+00:00,Stop Loss,-2.8081574126599325,-0.18964954358873537,0.71,1480.7087639238214,1477.9006065111614,8.0
GBPUSD=X,sell,1.2639188766479492,1.2661913633346558,1169.300208911125,2024-11-15 14:00:00+00:00,2024-11-18 16:00:00+00:00,Stop Loss,-2.657219157513711,-0.17979687847794673,0.75,1477.9006065111614,1475.2433873536477,74.0
EURUSD=X,buy,1.0587612390518188,1.0554089546203613,1393.3673928928606,2024-11-18 16:00:00+00:00,2024-11-19 09:00:00+00:00,Stop Loss,-4.67096381849529,-0.31662326762733417,0.73,1475.2433873536477,1470.5724235351524,17.0
EURUSD=X,buy,1.0554089546203613,1.0588732957839966,1393.3673928928608,2024-11-19 09:00:00+00:00,2024-11-19 15:00:00+00:00,Take Profit,4.827100015265874,0.3282463303413419,0.8,1470.5724235351524,1475.3995235504183,6.0
USDJPY=X,sell,153.96299743652344,154.34800720214844,9.582818911788872,2024-11-19 15:00:00+00:00,2024-11-19 16:00:00+00:00,Stop Loss,-3.689478863254651,-0.2500664263721766,0.73,1475.3995235504183,1471.7100446871636,1.0
USDJPY=X,buy,154.34800720214844,154.7209930419922,9.535011636137783,2024-11-19 16:00:00+00:00,2024-11-19 17:00:00+00:00,Take Profit,3.55642432302478,0.24165251408478067,0.75,1471.7100446871636,1475.2664690101885,1.0
GBPUSD=X,buy,1.2671701908111572,1.264430284500122,1164.2212543413937,2024-11-19 17:00:00+00:00,2024-11-20 14:00:00+00:00,Stop Loss,-3.18985716221125,-0.2162224404348758,0.75,1475.2664690101885,1472.0766118479773,21.0
GBPUSD=X,sell,1.264430284500122,1.2588751316070557,1164.2212543413937,2024-11-20 14:00:00+00:00,2024-11-21 16:00:00+00:00,Take Profit,6.4674270692239935,0.4393403860350096,0.73,1472.0766118479773,1478.5440389172013,26.0
EURUSD=X,buy,1.0477787256240845,1.0455876588821411,1411.122408537682,2024-11-21 16:00:00+00:00,2024-11-22 08:00:00+00:00,Stop Loss,-3.091863378157925,-0.20911540656051233,0.8,1478.5440389172013,1475.4521755390433,16.0
